full_date,date,weekday,time,mood,activities,note_title,note
2024-12-03,3 dic,Martes,7:23 a.m.,meh,sueño medio | hacer ejercicio | trabajo | Estudiar | familia | amigos | soleado | calor | Frío | clase | estudio | tarea | examen | trabajo | escuela | gimnasio | pechos sensibles,"",""
2024-12-02,2 dic,Lunes,7:22 a.m.,bien,hacer ejercicio | trabajo | Estudiar | familia | amigos | soleado | Frío | estudio | tarea,"",""
2024-12-01,1 dic,Domingo,7:21 a.m.,bien,Estudiar | familia | limpiar | tarea,"",""
2024-11-15,15 nov,Viernes,9:00 p.m.,bien,buen sueño | andar | relajamiento | amigos | soleado | Frío | clase | cuidados de la piel | Make-Up | escuela | vacaciones,"",""
2024-11-11,11 nov,Lunes,9:00 p.m.,meh,sueño medio | hacer ejercicio | trabajo | Estudiar | familia | amigos | calor | Frío | clase | tarea | cuidados de la piel | Make-Up | Casa | trabajo | escuela | gimnasio | ovulación,"",""
2024-11-10,10 nov,Domingo,6:20 p.m.,meh,sueño medio | andar | trabajo | Estudiar | Sola | soleado | calor | Frío | tarea | cuidados de la piel | trabajo,"",""
2024-11-09,9 nov,Sábado,6:18 p.m.,meh,andar | trabajo | Estudiar | familia | soleado | calor | tarea | cuidados de la piel | Casa | trabajo,"",""
2024-11-01,1 nov,Viernes,9:00 p.m.,meh,sueño malo | andar | familia | limpiar | cocinar | soleado | calor | cuidados de la piel | Make-Up | Casa,"",""
2024-10-31,31 oct,Jueves,9:00 p.m.,bien,sueño medio | andar | trabajo | Estudiar | familia | amigos | soleado | calor | clase | Make-Up | escuela | viaje,"","Que buen día con mis amigos "
2024-10-31,31 oct,Jueves,12:28 a.m.,mal,sueño medio,"",""
2024-10-28,28 oct,Lunes,9:00 p.m.,meh,sueño medio | hacer ejercicio | beber agua | leer | familia | soleado | nubes | viento | Frío | estudio | tarea | cuidados de la piel | Make-Up | escuela | visita | gimnasio,"",""
2024-10-27,27 oct,Domingo,7:50 p.m.,meh,sueño malo | beber agua | andar | trabajo | Sola | soleado | nubes | calor | viento | Frío | tarea | cuidados de la piel | trabajo | pechos sensibles | mareos,"",""
2024-10-26,26 oct,Sábado,7:49 p.m.,meh,sueño medio | andar | trabajo | familia | soleado | calor | viento | Frío | tarea | cuidados de la piel | trabajo | cólicos | dolor de espalda | náuseas | incontinencia | cambios de humor | agresión,"",""
2024-10-25,25 oct,Viernes,7:48 p.m.,meh,sueño medio | beber agua | andar | trabajo | Estudiar | familia | amigos | soleado | nubes | viento | Frío | clase | tarea | cuidados de la piel | Make-Up | trabajo | escuela | cólicos | dolor de cabeza | pechos sensibles | dolor de espalda | náuseas | incontinencia,"",""
2024-10-24,24 oct,Jueves,7:46 p.m.,meh,hacer ejercicio | beber agua | trabajo | Estudiar | familia | amigos | cocinar | soleado | calor | viento | clase | estudio | tarea | cuidados de la piel | Make-Up | trabajo | escuela | gimnasio,"",""
2024-10-23,23 oct,Miércoles,7:45 p.m.,mal,sueño medio | hacer ejercicio | beber agua | trabajo | Estudiar | familia | amigos | soleado | nubes | calor | clase | estudio | tarea | cuidados de la piel | Make-Up | trabajo | escuela | gimnasio,"",""
2024-10-22,22 oct,Martes,7:44 p.m.,meh,sueño medio | hacer ejercicio | beber agua | trabajo | Estudiar | familia | amigos | Sola | soleado | clase | estudio | Exposición | cuidados de la piel | Make-Up | trabajo | escuela | gimnasio,"",""
2024-10-21,21 oct,Lunes,7:40 p.m.,meh,sueño medio | hacer ejercicio | beber agua | trabajo | Estudiar | familia | amigos | Sola | soleado | viento | clase | estudio | tarea | Exposición | cuidados de la piel | Make-Up | trabajo | escuela | gimnasio,"",""
2024-10-20,20 oct,Domingo,10:14 p.m.,meh,sueño malo | trabajo | familia | Sola | soleado | nubes | viento | Frío | tarea | trabajo,"",""
2024-10-19,19 oct,Sábado,9:00 p.m.,meh,andar | familia | soleado | tarea,"",""
2024-10-18,18 oct,Viernes,7:38 p.m.,bien,hacer ejercicio | trabajo | Estudiar | familia | amigos | Sola | soleado | clase | estudio | tarea | Exposición | cuidados de la piel | spa | trabajo | escuela,"",""
2024-10-17,17 oct,Jueves,7:37 p.m.,meh,sueño medio | hacer ejercicio | películas y tv | Estudiar | familia | amigos | Sola,"",""
2024-10-16,16 oct,Miércoles,7:37 p.m.,meh,sueño medio | hacer ejercicio | beber agua | trabajo | Estudiar | familia | amigos | Sola | soleado | nubes | clase | tarea | trabajo | escuela,"",""
2024-10-15,15 oct,Martes,7:36 p.m.,meh,hacer ejercicio | Estudiar | limpiar | soleado | nubes,"",""
2024-10-14,14 oct,Lunes,7:34 p.m.,meh,hacer ejercicio | trabajo | Estudiar | familia | amigos | Sola | limpiar | tarea,"",""
2024-10-13,13 oct,Domingo,9:00 p.m.,meh,sueño malo | andar | trabajo | Sola | soleado | nubes,"",""
2024-10-12,12 oct,Sábado,7:33 p.m.,meh,sueño medio | andar | trabajo | familia | soleado | nubes | tarea,"",""
2024-10-11,11 oct,Viernes,11:32 p.m.,bien,hacer ejercicio | andar | Estudiar | familia | amigos | Sola | clase,"",""
2024-10-10,10 oct,Jueves,9:43 a.m.,meh,hacer ejercicio | relajamiento | Estudiar | familia | amigos | Sola | limpiar | cocinar | nubes | calor | clase | estudio | tarea | proyecto grupal | Make-Up | escuela | gimnasio | dolor de espalda,"",""
2024-10-09,9 oct,Miércoles,9:42 a.m.,meh,hacer ejercicio | beber agua | andar | Estudiar | familia | amigos | Sola | limpiar | cocinar | nubes | lluvia | calor | viento | clase | estudio | tarea | examen | proyecto grupal | Exposición | cuidados de la piel | Make-Up | escuela | gimnasio,"",""
2024-10-08,8 oct,Martes,9:40 a.m.,meh,hacer ejercicio | andar | leer | Estudiar | amigos | limpiar | cocinar | soleado | nubes | lluvia | calor | clase | estudio | tarea | examen | proyecto grupal | Exposición | cuidados de la piel | Make-Up | escuela | gimnasio,"",""
2024-10-07,7 oct,Lunes,9:34 a.m.,meh,hacer ejercicio | trabajo | Estudiar | familia | amigos | nubes | calor | clase | estudio | tarea | examen | Exposición | cuidados de la piel | Make-Up | trabajo | escuela | gimnasio,"",""
2024-10-06,6 oct,Domingo,9:34 a.m.,meh,andar | trabajo | soleado | nubes | tarea | trabajo,"",""
2024-10-05,5 oct,Sábado,9:00 p.m.,meh,sueño medio | sueño malo | andar | películas y tv | trabajo | familia | soleado | nubes | calor | cuidados de la piel | trabajo,"",""
2024-10-04,4 oct,Viernes,1:11 p.m.,meh,andar | Estudiar | Cantar | familia | amigos | Sola | compras | limpiar | soleado | nubes | lluvia | calor | clase | examen | proyecto grupal | Exposición | cuidados de la piel | Make-Up | escuela | visita,"",""
2024-10-03,3 oct,Jueves,1:08 p.m.,meh,hacer ejercicio | trabajo | Estudiar | familia | amigos | Sola | compras | limpiar | soleado | nubes | calor | clase | tarea | examen | Exposición | cuidados de la piel | Make-Up | trabajo | escuela | gimnasio | cambios de humor,"",""
2024-10-02,2 oct,Miércoles,1:07 p.m.,mal,hacer ejercicio | Estudiar | familia | amigos | Sola | limpiar | soleado | nubes | tarea | examen | Exposición | cuidados de la piel | Make-Up | escuela | gimnasio,"",""
2024-10-01,1 oct,Martes,1:06 p.m.,bien,hacer ejercicio | Estudiar | Cantar | Sola | limpiar | cocinar | lavandería | soleado | nubes | lluvia | tarea | cuidados de la piel | gimnasio,"",""
2024-09-30,30 sep,Lunes,9:00 p.m.,meh,deporte | películas y tv | relajamiento | Estudiar | familia | limpiar | lavandería | nubes | lluvia | calor | tarea | cuidados de la piel | visita | náuseas,"",""
2024-09-29,29 sep,Domingo,1:03 p.m.,meh,sueño medio | trabajo | Estudiar | Sola | soleado | lluvia | tormenta | tarea | cuidados de la piel | trabajo | dolor de espalda,"",""
2024-09-28,28 sep,Sábado,7:43 p.m.,meh,andar | películas y tv | trabajo | familia | soleado | nubes | lluvia | tarea | cuidados de la piel | trabajo | cólicos,"",""
2024-09-27,27 sep,Viernes,7:41 p.m.,meh,sueño medio | andar | películas y tv | Estudiar | Cantar | familia | amigos | Sola | limpiar | nubes | lluvia | clase | estudio | tarea | Exposición | cuidados de la piel | escuela | cólicos | dolor de cabeza | pechos sensibles | dolor de espalda | náuseas,"",""
2024-09-26,26 sep,Jueves,7:39 p.m.,meh,sueño medio | hacer ejercicio | trabajo | Estudiar | Cantar | familia | amigos | limpiar | nubes | calor | clase | estudio | tarea | Exposición | cuidados de la piel | Make-Up | trabajo | escuela | gimnasio | pechos sensibles | náuseas | incontinencia,"",""
2024-09-25,25 sep,Miércoles,7:38 p.m.,meh,hacer ejercicio | andar | leer | trabajo | Estudiar | familia | amigos | limpiar | nubes | lluvia | clase | estudio | tarea | Exposición | cuidados de la piel | Make-Up | trabajo | escuela | gimnasio,"",""
2024-09-24,24 sep,Martes,10:30 a.m.,meh,hacer ejercicio | trabajo | Estudiar | familia | amigos | limpiar | nubes | lluvia | calor | clase | tarea | cuidados de la piel | trabajo | gimnasio,"",""
2024-09-23,23 sep,Lunes,10:29 a.m.,meh,hacer ejercicio | Estudiar | familia | amigos | Sola | limpiar | lavandería | nubes | lluvia | calor | clase | estudio | tarea | cuidados de la piel | Make-Up | trabajo | escuela | gimnasio,"",""
2024-09-22,22 sep,Domingo,9:00 p.m.,meh,trabajo | Estudiar | familia | compras | nubes | lluvia | calor | viento | tarea | cuidados de la piel | trabajo,"",""
2024-09-21,21 sep,Sábado,9:00 p.m.,meh,trabajo | Estudiar | familia | compras | nubes | tarea | cuidados de la piel | trabajo,"",""
2024-09-20,20 sep,Viernes,9:00 p.m.,meh,hacer ejercicio | beber agua | Estudiar | familia | amigos | Sola | nubes | calor | clase | estudio | Exposición | Make-Up | trabajo | escuela | gimnasio,"",""
2024-09-19,19 sep,Jueves,9:00 p.m.,meh,trabajo | Estudiar | familia | amigos | Sola | limpiar | calor | clase | tarea | Exposición | Make-Up | trabajo | escuela,"",""
2024-09-18,18 sep,Miércoles,9:00 p.m.,meh,sueño medio | hacer ejercicio | beber agua | trabajo | Estudiar | familia | amigos | soleado | nubes | calor | clase | tarea | Exposición | cuidados de la piel | Make-Up | trabajo | escuela | gimnasio,"",""
2024-09-17,17 sep,Martes,11:19 p.m.,meh,hacer ejercicio | leer | trabajo | Estudiar | familia | amigos | limpiar | soleado | nubes | clase | estudio | Exposición | cuidados de la piel | Make-Up | trabajo | gimnasio,"",""
2024-09-16,16 sep,Lunes,9:00 p.m.,meh,andar | Estudiar | viaje | familia | soleado | nubes | calor | tarea | Make-Up | viaje,"",""
2024-09-15,15 sep,Domingo,11:29 a.m.,meh,deporte | familia | limpiar | cocinar | lavandería | nubes | calor | cuidados de la piel | Make-Up,"",""
2024-09-14,14 sep,Sábado,11:29 a.m.,meh,andar | trabajo | Estudiar | familia | soleado | nubes | lluvia | tarea | cuidados de la piel | trabajo,"",""
2024-09-13,13 sep,Viernes,11:27 a.m.,meh,hacer ejercicio | trabajo | Estudiar | familia | amigos | limpiar | soleado | nubes | lluvia | clase | estudio | tarea | Exposición | cuidados de la piel | Make-Up | trabajo | escuela | gimnasio,"",""
2024-09-12,12 sep,Jueves,9:00 p.m.,meh,hacer ejercicio | beber agua | trabajo | Estudiar | familia | amigos | Sola | nubes | calor | clase | Exposición | cuidados de la piel | trabajo | escuela | gimnasio,"",""
2024-09-11,11 sep,Miércoles,9:00 p.m.,meh,hacer ejercicio | amigos | Sola | limpiar | lluvia | clase | estudio | cuidados de la piel,"",""
2024-09-10,10 sep,Martes,11:28 a.m.,meh,hacer ejercicio | trabajo | Estudiar | amigos | compras | nubes | lluvia | clase | estudio | tarea | cuidados de la piel,"",""
2024-09-09,9 sep,Lunes,9:00 p.m.,meh,hacer ejercicio | trabajo | Estudiar | familia | amigos | nubes | lluvia | clase | estudio | tarea | proyecto grupal | cuidados de la piel,"",""
2024-09-08,8 sep,Domingo,8:00 p.m.,increíble,sueño malo | andar | viaje | familia | compras | nubes | viento,"","Que buen día "
2024-09-07,7 sep,Sábado,9:00 p.m.,meh,Enfermo | familia | nubes | calor | tarea,"",""
2024-09-06,6 sep,Viernes,11:46 p.m.,meh,hacer ejercicio | deporte | familia | amigos | nubes | lluvia | calor | clase | estudio | tarea,"",""
2024-09-05,5 sep,Jueves,9:00 p.m.,meh,hacer ejercicio | Estudiar | familia | amigos | Sola | limpiar | soleado | nubes | clase | estudio | tarea | proyecto grupal | cuidados de la piel,"",""
2024-09-04,4 sep,Miércoles,9:00 p.m.,meh,hacer ejercicio | familia | amigos | limpiar | lavandería | nubes | lluvia | calor | clase | estudio | tarea,"",""
2024-09-03,3 sep,Martes,9:19 a.m.,meh,hacer ejercicio | trabajo | Estudiar | familia | amigos | limpiar | soleado | nubes | lluvia | clase | estudio | tarea | examen | cuidados de la piel,"",""
2024-09-02,2 sep,Lunes,9:00 p.m.,meh,hacer ejercicio | trabajo | Estudiar | amigos | Sola | lavandería | calor | tarea | examen | bienestar | cuidados de la piel | Make-Up,"",""
2024-09-01,1 sep,Domingo,9:03 p.m.,meh,trabajo | Sola | soleado | nubes | calor | viento | tarea,"",""
2024-08-31,31 ago,Sábado,9:00 p.m.,meh,andar | trabajo | familia | lavandería | soleado | nubes | calor,"",""
2024-08-30,30 ago,Viernes,9:01 p.m.,bien,andar | leer | trabajo | Estudiar | familia | amigos | soleado | nubes | calor | clase | estudio | tarea | cuidados de la piel,"","Me gusta salir con mi mamá "
2024-08-29,29 ago,Jueves,9:00 p.m.,meh,hacer ejercicio | trabajo | Estudiar | familia | amigos | Sola | calor | clase | estudio | tarea | manicura | cuidados de la piel | Make-Up,"",""
2024-08-28,28 ago,Miércoles,11:27 p.m.,mal,hacer ejercicio | beber agua | Estudiar | Cantar | amigos | Sola | limpiar | nubes | calor | clase | estudio,"",""
2024-08-26,26 ago,Lunes,11:40 p.m.,meh,sueño malo | andar | películas y tv | trabajo | Estudiar | familia | amigos | nubes | calor | clase | estudio | tarea | proyecto grupal | cuidados de la piel,"",""
2024-08-25,25 ago,Domingo,9:01 p.m.,meh,beber agua | andar | Estudiar | familia | amigos | Sola | calor | estudio | tarea,"",""
2024-08-25,25 ago,Domingo,9:00 p.m.,meh,sueño malo | trabajo | Estudiar | Sola | soleado | nubes | calor | tarea,"",""
2024-08-24,24 ago,Sábado,9:00 p.m.,meh,andar | trabajo | Estudiar | familia | soleado | nubes | lluvia | calor,"",""
2024-08-23,23 ago,Viernes,8:39 a.m.,meh,sueño temprano | andar | películas y tv | trabajo | Estudiar | familia | amigos | Sola | compras | nubes | calor | clase | estudio | tarea,"",""
2024-08-22,22 ago,Jueves,9:00 p.m.,meh,sueño malo | hacer ejercicio | beber agua | trabajo | Estudiar | familia | amigos | nubes | calor | clase | tarea | proyecto grupal | cuidados de la piel,"",""
2024-08-21,21 ago,Miércoles,9:00 p.m.,meh,sueño malo | hacer ejercicio | Estudiar | familia | amigos | Sola | limpiar | soleado | clase | estudio | tarea | cuidados de la piel,"",""
2024-08-20,20 ago,Martes,9:00 p.m.,meh,sueño medio | dormir 8 horas | hacer ejercicio | leer | Estudiar | familia | amigos | Sola | limpiar | lavandería | soleado | nubes | clase | estudio | tarea | cuidados de la piel,"",""
2024-08-19,19 ago,Lunes,9:00 p.m.,meh,hacer ejercicio | leer | Estudiar | amigos | limpiar | lavandería | soleado | nubes | clase | tarea,"",""
2024-08-18,18 ago,Domingo,9:00 p.m.,meh,trabajo | Estudiar | Sola | soleado | nubes | tarea,"",""
2024-08-17,17 ago,Sábado,9:00 p.m.,meh,andar | trabajo | familia | soleado | lluvia | calor | cuidados de la piel,"",""
2024-08-16,16 ago,Viernes,9:00 p.m.,horrible,Enfermo | Estudiar | nubes | clase | estudio | tarea,"",""
2024-08-15,15 ago,Jueves,7:39 p.m.,meh,andar | Estudiar | Sola | nubes | lluvia | clase | tarea | cuidados de la piel,"",""
2024-08-14,14 ago,Miércoles,9:54 a.m.,meh,Estudiar,"",""
2024-08-13,13 ago,Martes,9:00 p.m.,meh,hacer ejercicio | beber agua | trabajo | Estudiar | familia | amigos | Sola | limpiar | nubes | calor | tarea | cuidados de la piel,"",""
2024-08-12,12 ago,Lunes,9:00 p.m.,meh,hacer ejercicio | beber agua | trabajo | Estudiar | familia | amigos | Sola | nubes | lluvia | clase | cuidados de la piel,"",""
2024-08-11,11 ago,Domingo,9:02 p.m.,meh,andar | familia | compras | limpiar | lavandería | nubes | lluvia,"",""
2024-08-10,10 ago,Sábado,9:00 p.m.,meh,andar | trabajo | familia | amigos | Sola | compras | nubes | cuidados de la piel,"",""
2024-08-09,9 ago,Viernes,11:40 p.m.,meh,hacer ejercicio | andar | películas y tv | leer | trabajo | familia | Sola | nubes,"",""
2024-08-08,8 ago,Jueves,9:00 p.m.,meh,hacer ejercicio | películas y tv | trabajo | familia | Sola | compras | limpiar | cocinar | soleado | tarea | cuidados de la piel,"",""
2024-08-07,7 ago,Miércoles,1:14 p.m.,meh,hacer ejercicio | andar | leer | trabajo | familia | Sola | compras | limpiar | cocinar | soleado | nubes,"",""
2024-08-06,6 ago,Martes,1:14 p.m.,meh,hacer ejercicio | andar | leer | relajamiento | trabajo | Sola | compras | limpiar | soleado | lluvia | cuidados de la piel,"",""
2024-08-05,5 ago,Lunes,9:00 p.m.,meh,hacer ejercicio | trabajo | familia | compras | cocinar | soleado | cuidados de la piel,"",""
2024-08-04,4 ago,Domingo,9:00 p.m.,meh,hacer ejercicio | trabajo | Cantar | familia | Sola | lluvia,"",""
2024-08-03,3 ago,Sábado,8:39 p.m.,bien,leer | trabajo | familia | Sola | limpiar | lluvia | calor | cuidados de la piel,"",""
2024-08-02,2 ago,Viernes,9:00 p.m.,meh,hacer ejercicio | leer | trabajo | familia | amigos | Sola | soleado | cuidados de la piel,"",""
2024-08-01,1 ago,Jueves,8:17 p.m.,bien,amigos,"",""
2024-08-01,1 ago,Jueves,8:11 p.m.,mal,hacer ejercicio | leer | trabajo | familia | Sola | soleado | nubes | cuidados de la piel,"",""
2024-07-31,31 jul,Miércoles,6:59 p.m.,bien,hacer ejercicio | leer | trabajo | familia | Sola | soleado | cuidados de la piel | Make-Up,"",""
2024-07-30,30 jul,Martes,9:00 p.m.,meh,hacer ejercicio | andar | leer | trabajo | familia | Sola | soleado | lluvia | cuidados de la piel,"",""
2024-07-29,29 jul,Lunes,9:00 p.m.,mal,leer | trabajo | Sola | soleado | nubes | lluvia | calor | cuidados de la piel | Make-Up,"",""
2024-07-28,28 jul,Domingo,11:11 p.m.,bien,leer | soleado | nubes | calor | viento | cuidados de la piel,"",""
2024-07-27,27 jul,Sábado,9:00 p.m.,bien,leer | familia | compras | lluvia | calor | cuidados de la piel,"",""
2024-07-26,26 jul,Viernes,10:52 p.m.,meh,leer | lluvia | calor,"",""
2024-07-25,25 jul,Jueves,9:00 p.m.,bien,leer | familia | cuidados de la piel,"",""
2024-07-24,24 jul,Miércoles,11:47 p.m.,meh,leer | familia | compras | limpiar | cocinar | lavandería | soleado | nubes | cuidados de la piel,"",""
2024-07-23,23 jul,Martes,9:23 p.m.,meh,familia | soleado,"",""
2024-07-22,22 jul,Lunes,10:59 p.m.,mal,hacer ejercicio | compras | limpiar | cocinar | lavandería | soleado | nubes | lluvia,"",""
2024-07-22,22 jul,Lunes,12:25 a.m.,meh,,"",""
2024-07-21,21 jul,Domingo,9:00 p.m.,meh,,"",""
2024-07-20,20 jul,Sábado,9:00 p.m.,meh,familia | soleado | nubes,"",""
2024-07-19,19 jul,Viernes,11:20 p.m.,mal,hacer ejercicio | leer | soleado | nubes,"",""
2024-07-18,18 jul,Jueves,11:55 p.m.,mal,hacer ejercicio | leer | compras | limpiar | cocinar | soleado | cuidados de la piel,"",""
2024-07-17,17 jul,Miércoles,9:40 p.m.,meh,hacer ejercicio | leer | compras | limpiar | cocinar | soleado | cuidados de la piel,"",""
2024-07-16,16 jul,Martes,9:00 p.m.,meh,hacer ejercicio | películas y tv | leer | familia | soleado | calor,"",""
2024-07-15,15 jul,Lunes,9:00 p.m.,bien,hacer ejercicio | compras | limpiar | soleado | cuidados de la piel,"",""
2024-07-14,14 jul,Domingo,7:26 p.m.,meh,leer | familia | compras | limpiar | cocinar | soleado | cuidados de la piel,"",""
2024-07-13,13 jul,Sábado,9:01 p.m.,meh,andar | familia | amigos | soleado | nubes | lluvia,"",""
2024-07-13,13 jul,Sábado,9:00 p.m.,meh,leer | compras | nubes | cuidados de la piel,"",""
2024-07-12,12 jul,Viernes,9:00 p.m.,bien,andar | familia | compras | soleado | nubes | lluvia | cuidados de la piel,"",""
2024-07-11,11 jul,Jueves,9:00 p.m.,meh,andar | leer | familia | limpiar | cuidados de la piel,"",""
2024-07-10,10 jul,Miércoles,10:32 p.m.,bien,familia | nubes | lluvia | cuidados de la piel,"",""
2024-07-09,9 jul,Martes,9:00 p.m.,bien,hacer ejercicio | andar | leer | familia | amigos | cocinar | cuidados de la piel,"",""
2024-07-08,8 jul,Lunes,9:00 p.m.,bien,dormir 8 horas | andar | leer | familia | limpiar | soleado,"",""
2024-07-07,7 jul,Domingo,9:00 p.m.,meh,dormir 8 horas | andar | leer | soleado | lluvia | calor,"",""
2024-07-06,6 jul,Sábado,11:28 p.m.,bien,familia | calor,"",""
2024-07-05,5 jul,Viernes,9:47 p.m.,meh,hacer ejercicio | soleado,"",""
2024-07-04,4 jul,Jueves,9:00 p.m.,meh,hacer ejercicio | andar | familia | compras | cocinar | nubes | calor,"",""
2024-07-03,3 jul,Miércoles,11:37 p.m.,meh,hacer ejercicio | andar | películas y tv | leer | familia | amigos | compras | limpiar | cocinar | lavandería | cuidados de la piel,"",""
2024-07-02,2 jul,Martes,6:20 p.m.,bien,dormir 8 horas | hacer ejercicio | andar | familia | amigos | compras | limpiar | cocinar | nubes | calor,"",""
2024-07-01,1 jul,Lunes,9:00 p.m.,bien,hacer ejercicio | andar | familia | amigos | compras | limpiar | cocinar | lluvia,"",""
2024-06-30,30 jun,Domingo,11:26 p.m.,bien,nubes | lluvia | calor | cuidados de la piel,"",""
2024-06-29,29 jun,Sábado,11:29 p.m.,horrible,familia | amigos | calor,"",""
2024-06-28,28 jun,Viernes,8:00 p.m.,increíble,andar | leer | familia | amigos | compras | cocinar | nubes | calor | cuidados de la piel,"",""
2024-06-27,27 jun,Jueves,10:45 p.m.,bien,andar | leer | familia | compras | limpiar | cocinar | lluvia | calor,"",""
2024-06-26,26 jun,Miércoles,8:27 p.m.,bien,andar | familia | soleado | lluvia | calor,"",""
2024-06-26,26 jun,Miércoles,9:00 a.m.,bien,familia | lluvia,"",""
2024-06-25,25 jun,Martes,9:56 p.m.,meh,leer | familia | compras | limpiar | cocinar | nubes | clase | cuidados de la piel,"",""
2024-06-24,24 jun,Lunes,11:10 p.m.,meh,andar | leer | compras | limpiar | cocinar | lluvia | calor | clase | cuidados de la piel,"",""
2024-06-23,23 jun,Domingo,11:28 p.m.,bien,andar | leer | soleado | calor | cuidados de la piel,"",""
2024-06-22,22 jun,Sábado,9:36 p.m.,meh,andar | familia | compras | calor,"",""
2024-06-21,21 jun,Viernes,9:01 p.m.,bien,familia | amigos | lluvia,"",""
