full_date,date,weekday,time,mood,activities,note_title,note
2024-10-13,13 oct,Sunday,11:29 p.m.,Meh,Buen sueño | Relajado | Procrastinar | Estresado | Desesperado | Enfermo | Comer sano | Agua | Lectura | Reunión | Cocinar | Tarea | Haircut,,
2024-10-12,12 oct,Saturday,10:57 p.m.,Meh,Sueño medio | Relajado | Contento | Ansioso | Procrastinar | Inglés,,
2024-10-11,11 oct,Friday,11:00 p.m.,Bien,Sueño malo | Feliz | Relajado | Contento | Ocupado | Motivado | Comer sano | Agua | Reunión | Examen | Skin care,,
2024-10-10,10 oct,Thursday,11:01 p.m.,Meh,Sueño malo | Relajado | Contento | Ansioso | Estresado | Motivado | Ejercicio | Comer sano | Agua | Cocinar | Skin care,,
2024-10-09,9 oct,Wednesday,10:42 p.m.,Mal,Buen sueño | Relajado | Contento | Ansioso | Procrastinar | Confundido | Decepcionado | Agua | Salida | Reunión,,
2024-10-08,8 oct,Tuesday,11:41 p.m.,Bien,Buen sueño | Relajado | Contento | Cansado | Procrastinar | Motivado | Ejercicio | Comer sano | Agua | Cocinar | Skin care,,
2024-10-07,7 oct,Monday,10:56 p.m.,Bien,Sueño medio | Feliz | Emocionado | Contento | Ansioso | Motivado | Ejercicio | Comer sano | Agua | Correr / Cardio | Compras | Cocinar | Skin care | Protector solar,,
2024-10-06,6 oct,Sunday,11:37 p.m.,Bien,Sueño medio | Feliz | Relajado | Contento | Productivo | Motivado | Lectura | Enfocado | Hacer deberes | Limpiar | Skin care,,
2024-10-05,5 oct,Saturday,8:00 p.m.,Bien,Sueño medio | Relajado | Contento | Ocupado,,
2024-10-04,4 oct,Friday,8:00 p.m.,Bien,Sueño medio | Relajado | Contento | Estresado | Motivado,,
2024-10-03,3 oct,Thursday,8:00 p.m.,Bien,Sueño malo | Feliz | Relajado | Contento | Enojado | Motivado | Salida | Hacer deberes | Examen,,
2024-10-02,2 oct,Wednesday,11:17 p.m.,Meh,Sueño medio | Relajado | Ansioso | Procrastinar | Lectura | Salida,,
2024-10-01,1 oct,Tuesday,10:51 p.m.,Bien,Sueño medio | Relajado | Contento | Productivo | Ocupado | Limpiar | Skin care,,
2024-09-30,30 sep,Monday,10:37 p.m.,Bien,Sueño malo | Relajado | Contento | Inseguro | Procrastinar | Ocupado | Motivado | Enfocado | Algoritmos | Compras,,
2024-09-29,29 sep,Sunday,8:00 p.m.,Meh,Buen sueño | Relajado | Enojado | Estresado | Productivo | Ocupado | Confundido | Decepcionado | Lectura | Algoritmos | Estudio,,
2024-09-28,28 sep,Saturday,10:47 p.m.,Bien,Buen sueño | Relajado | Contento | Productivo | Ocupado | Motivado | Lectura | Enfocado | Inglés | Hacer deberes | Algoritmos | Limpiar | Estudio,,
2024-09-27,27 sep,Friday,8:00 p.m.,Bien,Sueño medio | Relajado | Contento | Estresado | Motivado | Lectura | IA & Data | Tarea | Skin care,,
2024-09-26,26 sep,Thursday,8:00 p.m.,Bien,Sueño medio | Feliz | Relajado | Contento | Procrastinar | Lectura | IA & Data | Estudio | Skin care,,
2024-09-25,25 sep,Wednesday,8:00 p.m.,Meh,Sueño medio | Relajado | Contento | Procrastinar | Estresado | Lectura | IA & Data | Estudio | Skin care,,
2024-09-24,24 sep,Tuesday,11:59 p.m.,Meh,Sueño medio | Cansado | Inseguro | Aburrido | Ansioso | Procrastinar | Triste | Clases completas | Skin care,,
2024-09-23,23 sep,Monday,8:00 p.m.,Meh,Sueño malo | Relajado | Cansado | Aburrido,,
2024-09-22,22 sep,Sunday,8:00 p.m.,Increíble,Sueño malo | Feliz | Relajado | Contento | Confundido | Motivado | Decepcionado | Salida,,
2024-09-21,21 sep,Saturday,9:41 a.m.,Increíble,Sueño medio | Feliz | Contento | Motivado | Salida | Viaje,,
2024-09-20,20 sep,Friday,9:40 a.m.,Bien,Buen sueño | Feliz | Contento | Visita,,
2024-09-19,19 sep,Thursday,9:39 a.m.,Meh,Sueño malo | Relajado | Contento | Cansado | Motivado | Clases completas,,
2024-09-18,18 sep,Wednesday,9:38 a.m.,Bien,Sueño medio | Feliz | Contento | Salida,,
2024-09-17,17 sep,Tuesday,11:45 p.m.,Meh,Sueño medio | Procrastinar | Estresado | Desesperado | Ejercicio | Comer sano | Agua | Compras | Cocinar,,
2024-09-16,16 sep,Monday,8:42 p.m.,Meh,Buen sueño | Relajado | Procrastinar | Estresado | Comer sano | Tarea,,
2024-09-15,15 sep,Sunday,8:00 p.m.,Increíble,Buen sueño | Feliz | Emocionado | Contento | Salida,,
2024-09-14,14 sep,Saturday,8:41 p.m.,Bien,Buen sueño | Relajado | Contento | Procrastinar | Comer sano | Agua,,
2024-09-13,13 sep,Friday,8:00 p.m.,Meh,Sueño medio | Relajado | Desesperado | Desmotivado | Lectura,,
2024-09-12,12 sep,Thursday,11:33 p.m.,Bien,Sueño medio | Feliz | Contento | Procrastinar | Decepcionado | Desmotivado | Ejercicio | Comer sano | Agua | IA & Data | Cocinar | Clases completas | Skin care,,
2024-09-11,11 sep,Wednesday,8:00 p.m.,Bien,Buen sueño | Feliz | Relajado | Contento | Enojado | Desesperado | Lectura | Visita | Salida | Algoritmos | Cocinar | Clases completas | Skin care | Protector solar,,
2024-09-10,10 sep,Tuesday,8:00 p.m.,Bien,Sueño medio | Relajado | Contento | Procrastinar | Ejercicio | Comer sano | Agua | Lectura | Reunión | Cocinar | Tarea | Proyecto grupal | Clases completas | Skin care,,
2024-09-09,9 sep,Monday,10:40 p.m.,Bien,Sueño medio | Contento | Cansado | Desmotivado | Ejercicio | Comer sano | Agua | Lectura | Algoritmos | Compras | Cocinar | Clases completas | Skin care,,
2024-09-08,8 sep,Sunday,10:34 p.m.,Bien,Sueño malo | Emocionado | Enamorado | Contento | Productivo | Ocupado | Lectura | Algoritmos | Limpiar | Skin care,,
2024-09-07,7 sep,Saturday,8:00 p.m.,Bien,Buen sueño | Feliz | Relajado | Contento | Decepcionado | Agua | Inglés | Algoritmos | Estudio,,
2024-09-06,6 sep,Friday,11:00 p.m.,Meh,Buen sueño | Relajado | Desesperado | Ejercicio | Comer sano | Agua | Correr / Cardio | Lectura | Examen,,
2024-09-05,5 sep,Thursday,9:44 p.m.,Bien,Buen sueño | Feliz | Relajado | Contento | Productivo | Motivado | Ejercicio | Comer sano | Agua | Lectura | Enfocado | IA & Data | Cocinar | Estudio | Skin care,,
2024-09-04,4 sep,Wednesday,10:47 p.m.,Bien,Buen sueño | Relajado | Contento | Cansado | Ejercicio | Comer sano | Agua | Cocinar | Clase,,
2024-09-03,3 sep,Tuesday,11:45 p.m.,Bien,Sueño medio | Feliz | Contento | Ejercicio | Comer sano | Agua | Cocinar | Clase | Proyecto grupal,,
2024-09-02,2 sep,Monday,8:00 p.m.,Bien,Sueño medio | Contento | Ejercicio | Comer sano | Agua | Compras | Cocinar | Clase | Estudio | Skin care,,
2024-09-01,1 sep,Sunday,10:14 p.m.,Bien,Buen sueño | Relajado | Lectura | Iniciar temprano | Limpiar,,
2024-08-10,10 Aug,Saturday,8:00 p.m.,Increíble,Feliz | Salida,,
